Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.61,0.2765173663108818
75% Corpus,5,0.01,0.9099999999999999,0.28447421368189046
75% Corpus,5,0.01,symmetric,0.26170078974611555
75% Corpus,5,0.31,0.01,0.25945095771415894
75% Corpus,5,0.31,0.31,0.2704578171461261
75% Corpus,5,0.31,0.61,0.2765173663108818
75% Corpus,5,0.31,0.9099999999999999,0.28960239842069885
75% Corpus,5,0.31,symmetric,0.26170078974611555
75% Corpus,5,0.61,0.01,0.25945095771415894
75% Corpus,5,0.61,0.31,0.2704578171461261
75% Corpus,5,0.61,0.61,0.2765173663108818
75% Corpus,5,0.61,0.9099999999999999,0.289311183106001
75% Corpus,5,0.61,symmetric,0.2606588455719897
75% Corpus,5,0.9099999999999999,0.01,0.25945095771415894
75% Corpus,5,0.9099999999999999,0.31,0.275656102861206
75% Corpus,5,0.9099999999999999,0.61,0.27670889576061797
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.2906672723122026
75% Corpus,5,0.9099999999999999,symmetric,0.2606588455719897
75% Corpus,5,symmetric,0.01,0.25945095771415894
75% Corpus,5,symmetric,0.31,0.27045781714612616
75% Corpus,5,symmetric,0.61,0.27651736631088186
75% Corpus,5,symmetric,0.9099999999999999,0.28447421368189046
75% Corpus,5,symmetric,symmetric,0.26170078974611555
75% Corpus,5,asymmetric,0.01,0.2603166560180995
75% Corpus,5,asymmetric,0.31,0.2788597908377365
75% Corpus,5,asymmetric,0.61,0.2765173663108818
75% Corpus,5,asymmetric,0.9099999999999999,0.289311183106001
75% Corpus,5,asymmetric,symmetric,0.2668990754611955
75% Corpus,6,0.01,0.01,0.2604413328215114
75% Corpus,6,0.01,0.31,0.25743043491144196
75% Corpus,6,0.01,0.61,0.2565122056476949
75% Corpus,6,0.01,0.9099999999999999,0.3491676139852069
75% Corpus,6,0.01,symmetric,0.2577065713763383
75% Corpus,6,0.31,0.01,0.2621408968514142
75% Corpus,6,0.31,0.31,0.2567559598144179
75% Corpus,6,0.31,0.61,0.2589740009855811
75% Corpus,6,0.31,0.9099999999999999,0.35428652265543475
75% Corpus,6,0.31,symmetric,0.2553431465506771
75% Corpus,6,0.61,0.01,0.2652500092105781
75% Corpus,6,0.61,0.31,0.2591321964447881
75% Corpus,6,0.61,0.61,0.2528430165882105
75% Corpus,6,0.61,0.9099999999999999,0.35766289463213846
75% Corpus,6,0.61,symmetric,0.26698680446753836
75% Corpus,6,0.9099999999999999,0.01,0.2659678400920091
75% Corpus,6,0.9099999999999999,0.31,0.260901717072624
75% Corpus,6,0.9099999999999999,0.61,0.25406827770564316
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.35958721047023207
75% Corpus,6,0.9099999999999999,symmetric,0.2618167119898103
75% Corpus,6,symmetric,0.01,0.2607017971843832
75% Corpus,6,symmetric,0.31,0.2567559598144179
75% Corpus,6,symmetric,0.61,0.25632616093196764
75% Corpus,6,symmetric,0.9099999999999999,0.3491676139852069
75% Corpus,6,symmetric,symmetric,0.25369709000782925
75% Corpus,6,asymmetric,0.01,0.2619074672275614
75% Corpus,6,asymmetric,0.31,0.25675595981441784
75% Corpus,6,asymmetric,0.61,0.25508137344032755
75% Corpus,6,asymmetric,0.9099999999999999,0.35374261324800677
75% Corpus,6,asymmetric,symmetric,0.25425915043759906
75% Corpus,7,0.01,0.01,0.27423848615233104
75% Corpus,7,0.01,0.31,0.2622917820997297
75% Corpus,7,0.01,0.61,0.29427294332040044
75% Corpus,7,0.01,0.9099999999999999,0.3425575715440936
75% Corpus,7,0.01,symmetric,0.26599859095027834
75% Corpus,7,0.31,0.01,0.2738789411381733
75% Corpus,7,0.31,0.31,0.2622917820997297
75% Corpus,7,0.31,0.61,0.29454157918199797
75% Corpus,7,0.31,0.9099999999999999,0.34236632591323385
75% Corpus,7,0.31,symmetric,0.2648935409088224
75% Corpus,7,0.61,0.01,0.279781101046364
75% Corpus,7,0.61,0.31,0.26371854612563045
75% Corpus,7,0.61,0.61,0.29518964326976255
75% Corpus,7,0.61,0.9099999999999999,0.3405990310778676
75% Corpus,7,0.61,symmetric,0.2644461979264309
75% Corpus,7,0.9099999999999999,0.01,0.2810617432836592
75% Corpus,7,0.9099999999999999,0.31,0.2587459761905162
75% Corpus,7,0.9099999999999999,0.61,0.29518964326976255
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.33913643142856326
75% Corpus,7,0.9099999999999999,symmetric,0.26363957205768446
75% Corpus,7,symmetric,0.01,0.27423848615233104
75% Corpus,7,symmetric,0.31,0.2622917820997297
75% Corpus,7,symmetric,0.61,0.2951980180120159
75% Corpus,7,symmetric,0.9099999999999999,0.34192115571731246
75% Corpus,7,symmetric,symmetric,0.2670405169868437
75% Corpus,7,asymmetric,0.01,0.27483955855920134
75% Corpus,7,asymmetric,0.31,0.261399491833684
75% Corpus,7,asymmetric,0.61,0.3003675453825573
75% Corpus,7,asymmetric,0.9099999999999999,0.3762524434393398
75% Corpus,7,asymmetric,symmetric,0.2648935409088224
75% Corpus,8,0.01,0.01,0.2778237594827267
75% Corpus,8,0.01,0.31,0.2646643213299039
75% Corpus,8,0.01,0.61,0.32898942384749846
75% Corpus,8,0.01,0.9099999999999999,0.35061652819028716
75% Corpus,8,0.01,symmetric,0.26618017739231037
75% Corpus,8,0.31,0.01,0.28196082747302975
75% Corpus,8,0.31,0.31,0.25777078321187674
75% Corpus,8,0.31,0.61,0.3314995618902886
75% Corpus,8,0.31,0.9099999999999999,0.3516980328785753
75% Corpus,8,0.31,symmetric,0.26695675057687435
75% Corpus,8,0.61,0.01,0.2806025785523184
75% Corpus,8,0.61,0.31,0.29319808603560843
75% Corpus,8,0.61,0.61,0.32931702674388785
75% Corpus,8,0.61,0.9099999999999999,0.3838424989978032
