Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.284510023504718
100% Corpus,9,0.31,0.61,0.2699681271169933
100% Corpus,9,0.31,0.9099999999999999,0.3351721437674661
100% Corpus,9,0.31,symmetric,0.25787585674546487
100% Corpus,9,0.61,0.01,0.2602229388176754
100% Corpus,9,0.61,0.31,0.26219082522567194
100% Corpus,9,0.61,0.61,0.27406278566684
100% Corpus,9,0.61,0.9099999999999999,0.33708339305938906
100% Corpus,9,0.61,symmetric,0.25660148894503365
100% Corpus,9,0.9099999999999999,0.01,0.2577318604991501
100% Corpus,9,0.9099999999999999,0.31,0.28593296384342853
100% Corpus,9,0.9099999999999999,0.61,0.2804660760013132
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.33798083410624913
100% Corpus,9,0.9099999999999999,symmetric,0.257698213650966
100% Corpus,9,symmetric,0.01,0.2611798523489125
100% Corpus,9,symmetric,0.31,0.32313954313645554
100% Corpus,9,symmetric,0.61,0.26797688653941304
100% Corpus,9,symmetric,0.9099999999999999,0.3351721437674661
100% Corpus,9,symmetric,symmetric,0.25787585674546487
100% Corpus,9,asymmetric,0.01,0.26117985234891244
100% Corpus,9,asymmetric,0.31,0.318442557476503
100% Corpus,9,asymmetric,0.61,0.27324322630443265
100% Corpus,9,asymmetric,0.9099999999999999,0.3474302225023846
100% Corpus,9,asymmetric,symmetric,0.25867584187116616
100% Corpus,10,0.01,0.01,0.26890059585649
100% Corpus,10,0.01,0.31,0.28398518471426
100% Corpus,10,0.01,0.61,0.34085413632405503
100% Corpus,10,0.01,0.9099999999999999,0.29341870086814115
100% Corpus,10,0.01,symmetric,0.2674071602887985
100% Corpus,10,0.31,0.01,0.2680854605766983
100% Corpus,10,0.31,0.31,0.2797038808106653
100% Corpus,10,0.31,0.61,0.3403160271452118
100% Corpus,10,0.31,0.9099999999999999,0.28584816669361357
100% Corpus,10,0.31,symmetric,0.26736934145619495
100% Corpus,10,0.61,0.01,0.273141824971571
100% Corpus,10,0.61,0.31,0.28153046097437373
100% Corpus,10,0.61,0.61,0.3427959200286363
100% Corpus,10,0.61,0.9099999999999999,0.2821238517007236
100% Corpus,10,0.61,symmetric,0.2641432618198214
100% Corpus,10,0.9099999999999999,0.01,0.27537157663446676
100% Corpus,10,0.9099999999999999,0.31,0.28093193607535183
100% Corpus,10,0.9099999999999999,0.61,0.3448053962094554
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.2806861954307168
100% Corpus,10,0.9099999999999999,symmetric,0.2686084367784285
100% Corpus,10,symmetric,0.01,0.2672953086676786
100% Corpus,10,symmetric,0.31,0.2860702665388522
100% Corpus,10,symmetric,0.61,0.3423130646057028
100% Corpus,10,symmetric,0.9099999999999999,0.29127888665387003
100% Corpus,10,symmetric,symmetric,0.26678894292012767
100% Corpus,10,asymmetric,0.01,0.2696907477655097
100% Corpus,10,asymmetric,0.31,0.2927016850525002
100% Corpus,10,asymmetric,0.61,0.3386587451166609
100% Corpus,10,asymmetric,0.9099999999999999,0.2819262890809507
100% Corpus,10,asymmetric,symmetric,0.26588249076481585
